GeneID	GeneSymbol	Node Class
23066	CAND2	Dispensable
735	C9	Neutral
2948	GSTM4	Dispensable
8654	PDE5A	Dispensable
1271	CNTFR	Neutral
6921	TCEB1	Neutral
51569	UFM1	Dispensable
116987	AGAP1	Dispensable
10048	RANBP9	Indispensable
55843	ARHGAP15	Dispensable
7324	UBE2E1	Neutral
2103	ESRRB	Neutral
8396	PIP4K2B	Dispensable
6624	FSCN1	Dispensable
2224	FDPS	Dispensable
4783	NFIL3	Neutral
1133	CHRM5	Dispensable
54165	DCUN1D1	Dispensable
6271	S100A1	Neutral
26020	LRP10	Neutral
493861	EID3	Dispensable
7442	TRPV1	Dispensable
10581	IFITM2	Neutral
60312	AFAP1	Dispensable
116461	TSEN15	Neutral
5916	RARG	Neutral
6938	TCF12	Neutral
5564	PRKAB1	Dispensable
5080	PAX6	Indispensable
4191	MDH2	Neutral
6658	SOX3	Dispensable
336	APOA2	Indispensable
80781	COL18A1	Neutral
22808	MRAS	Neutral
54925	ZNF434	Neutral
4998	ORC1L	Neutral
383	ARG1	Dispensable
22822	PHLDA1	Neutral
2532	DARC	Neutral
3817	KLK2	Neutral
6449	SGTA	Indispensable
112939	NACC1	Dispensable
10487	CAP1	Dispensable
3651	PDX1	Neutral
4157	MC1R	Dispensable
8496	PPFIBP1	Neutral
6711	SPTBN1	Neutral
11122	PTPRT	Neutral
51013	EXOSC1	Dispensable
11011	TLK2	Dispensable
92	ACVR2A	Indispensable
5354	PLP1	Neutral
9332	CD163	Dispensable
3687	ITGAX	Neutral
1212	CLTB	Dispensable
4791	NFKB2	Indispensable
2253	FGF8	Dispensable
55534	MAML3	Dispensable
1164	CKS2	Dispensable
11261	CHP	Indispensable
5450	POU2AF1	Neutral
56893	UBQLN4	Indispensable
170954	KIAA1949	Dispensable
29107	NXT1	Dispensable
6404	SELPLG	Neutral
4597	MVD	Neutral
5777	PTPN6	Indispensable
51691	LSM8	Neutral
6310	ATXN1	Indispensable
51637	C14orf166	Neutral
995	CDC25C	Indispensable
54472	TOLLIP	Neutral
53615	MBD3	Neutral
837	CASP4	Indispensable
53335	BCL11A	Neutral
9021	SOCS3	Neutral
3208	HPCA	Neutral
3839	KPNA3	Neutral
9459	ARHGEF6	Neutral
8976	WASL	Indispensable
84942	WDR73	Dispensable
406	ARNTL	Indispensable
80852	GRIP2	Neutral
26148	C10orf12	Dispensable
7088	TLE1	Indispensable
2289	FKBP5	Neutral
4798	NFRKB	Dispensable
2312	FLG	Neutral
19	ABCA1	Indispensable
3096	HIVEP1	Neutral
1030	CDKN2B	Neutral
54622	ARL15	Indispensable
8874	ARHGEF7	Indispensable
26511	CHIC2	Indispensable
3430	IFI35	Neutral
5193	PEX12	Dispensable
57563	KLHL8	Dispensable
3123	HLA-DRB1	Neutral
1880	GPR183	Neutral
5191	PEX7	Neutral
3761	KCNJ4	Dispensable
4883	NPR3	Dispensable
4610	MYCL1	Neutral
80125	CCDC33	Dispensable
9181	ARHGEF2	Dispensable
51764	GNG13	Indispensable
1998	ELF2	Dispensable
6774	STAT3	Indispensable
6199	RPS6KB2	Dispensable
6667	SP1	Indispensable
56938	ARNTL2	Neutral
7169	TPM2	Dispensable
1070	CETN3	Dispensable
10765	JARID1B	Neutral
10243	GPHN	Neutral
3117	HLA-DQA1	Dispensable
28984	C13orf15	Dispensable
23186	RCOR1	Neutral
22955	SCMH1	Neutral
51652	VPS24	Neutral
3275	PRMT2	Neutral
4332	MNDA	Indispensable
64399	HHIP	Neutral
5976	UPF1	Indispensable
80304	C2orf44	Neutral
6532	SLC6A4	Dispensable
23287	AGTPBP1	Neutral
111	ADCY5	Dispensable
3549	IHH	Dispensable
408	ARRB1	Indispensable
4776	NFATC4	Dispensable
57178	ZMIZ1	Neutral
3577	IL8RA	Neutral
7434	VIPR2	Dispensable
92342	C1orf156	Dispensable
25791	NGEF	Dispensable
7010	TEK	Indispensable
6579	SLCO1A2	Dispensable
3601	IL15RA	Neutral
85363	TRIM5	Indispensable
134353	LSM11	Neutral
26160	IFT172	Neutral
6777	STAT5B	Indispensable
23005	MAPKBP1	Dispensable
6236	RRAD	Dispensable
65056	GPBP1	Dispensable
26098	C10orf137	Dispensable
8867	SYNJ1	Indispensable
580	BARD1	Neutral
79003	MIS12	Neutral
4956	ODF1	Neutral
9722	NOS1AP	Neutral
23604	DAPK2	Dispensable
7791	ZYX	Neutral
7049	TGFBR3	Neutral
6632	SNRPD1	Neutral
10053	AP1M2	Neutral
23285	KIAA1107	Dispensable
51274	KLF3	Dispensable
5818	PVRL1	Neutral
4618	MYF6	Dispensable
9972	NUP153	Dispensable
57099	AVEN	Dispensable
57489	ODF2L	Dispensable
31	ACACA	Dispensable
51778	MYOZ2	Dispensable
10318	TNIP1	Neutral
4093	SMAD9	Indispensable
2307	FOXS1	Dispensable
25876	SPEF1	Neutral
7039	TGFA	Neutral
6609	SMPD1	Neutral
5973	RENBP	Neutral
8546	AP3B1	Indispensable
4160	MC4R	Neutral
79959	CEP76	Neutral
5444	PON1	Dispensable
79666	PLEKHF2	Neutral
3336	HSPE1	Neutral
10301	DLEU1	Neutral
5104	SERPINA5	Neutral
90070	LACRT	Dispensable
675	BRCA2	Indispensable
8312	AXIN1	Indispensable
8807	IL18RAP	Neutral
23281	KIAA0774	Indispensable
128312	HIST3H2BB	Dispensable
382	ARF6	Neutral
3487	IGFBP4	Neutral
